2019.02.19-13:14:51 SERIES 1
2019.02.19-13:14:51 1-100-1.dcm to 1-100-1.dcm.gz 
2019.02.19-13:14:51 1-101-1.dcm to 1-101-1.dcm.gz 
2019.02.19-13:14:51 1-10-1.dcm to 1-10-1.dcm.gz 
2019.02.19-13:14:51 1-102-1.dcm to 1-102-1.dcm.gz 
2019.02.19-13:14:51 1-103-1.dcm to 1-103-1.dcm.gz 
2019.02.19-13:14:51 1-104-1.dcm to 1-104-1.dcm.gz 
2019.02.19-13:14:51 1-105-1.dcm to 1-105-1.dcm.gz 
2019.02.19-13:14:51 1-106-1.dcm to 1-106-1.dcm.gz 
2019.02.19-13:14:51 1-107-1.dcm to 1-107-1.dcm.gz 
2019.02.19-13:14:51 1-108-1.dcm to 1-108-1.dcm.gz 
2019.02.19-13:14:51 1-109-1.dcm to 1-109-1.dcm.gz 
2019.02.19-13:14:51 1-110-1.dcm to 1-110-1.dcm.gz 
2019.02.19-13:14:51 1-111-1.dcm to 1-111-1.dcm.gz 
2019.02.19-13:14:51 1-11-1.dcm to 1-11-1.dcm.gz 
2019.02.19-13:14:51 1-112-1.dcm to 1-112-1.dcm.gz 
2019.02.19-13:14:51 1-113-1.dcm to 1-113-1.dcm.gz 
2019.02.19-13:14:51 1-114-1.dcm to 1-114-1.dcm.gz 
2019.02.19-13:14:51 1-115-1.dcm to 1-115-1.dcm.gz 
2019.02.19-13:14:51 1-116-1.dcm to 1-116-1.dcm.gz 
2019.02.19-13:14:51 1-117-1.dcm to 1-117-1.dcm.gz 
2019.02.19-13:14:51 1-118-1.dcm to 1-118-1.dcm.gz 
2019.02.19-13:14:51 1-119-1.dcm to 1-119-1.dcm.gz 
2019.02.19-13:14:51 1-1-1.dcm to 1-1-1.dcm.gz 
2019.02.19-13:14:51 1-120-1.dcm to 1-120-1.dcm.gz 
2019.02.19-13:14:51 1-121-1.dcm to 1-121-1.dcm.gz 
2019.02.19-13:14:51 1-12-1.dcm to 1-12-1.dcm.gz 
2019.02.19-13:14:51 1-122-1.dcm to 1-122-1.dcm.gz 
2019.02.19-13:14:51 1-123-1.dcm to 1-123-1.dcm.gz 
2019.02.19-13:14:51 1-124-1.dcm to 1-124-1.dcm.gz 
2019.02.19-13:14:51 1-125-1.dcm to 1-125-1.dcm.gz 
2019.02.19-13:14:51 1-126-1.dcm to 1-126-1.dcm.gz 
2019.02.19-13:14:51 1-127-1.dcm to 1-127-1.dcm.gz 
2019.02.19-13:14:51 1-128-1.dcm to 1-128-1.dcm.gz 
2019.02.19-13:14:51 1-13-1.dcm to 1-13-1.dcm.gz 
2019.02.19-13:14:51 1-14-1.dcm to 1-14-1.dcm.gz 
2019.02.19-13:14:51 1-15-1.dcm to 1-15-1.dcm.gz 
